Organism,Lineage
Fusarium vanettenii (strain ATCC MYA-4622 / CBS 123669 / FGSC 9596 / NRRL 45880 / 77-13-4),"Fusarium vanettenii, Fusarium solani species complex, Fusarium, Nectriaceae, Hypocreales, Hypocreomycetidae, Sordariomycetes, sordariomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Polaromonas naphthalenivorans (strain CJ2),"Polaromonas, Comamonadaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Pseudomonas fluorescens,"Pseudomonas fluorescens group, Pseudomonas, Pseudomonadaceae, Pseudomonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Streptococcus mutans serotype c (strain ATCC 700610 / UA159),"Streptococcus mutans, Streptococcus, Streptococcaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Orf virus (strain NZ7),"Parapoxvirus, Chordopoxvirinae, Poxviridae, Chitovirales, Pokkesviricetes, Nucleocytoviricota, Bamfordvirae, Varidnaviria, Viruses"
Bacillus cereus,"Bacillus cereus group, Bacillus, Bacillaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Enterococcus faecium,"Enterococcus, Enterococcaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Simian immunodeficiency virus (isolate TAN1),"Simian immunodeficiency virus, Lentivirus, Orthoretrovirinae, Retroviridae, Ortervirales, Revtraviricetes, Artverviricota, Pararnavirae, Riboviria, Viruses"
Newcastle disease virus (strain Beaudette C/45),"Avian orthoavulavirus 1, Orthoavulavirus, Avulavirinae, Paramyxoviridae, Mononegavirales, Monjiviricetes, Haploviricotina, Negarnaviricota, Orthornavirae, Riboviria, Viruses"
Bison bison,"Bison bison, Bison, Bovinae, Bovidae, Pecora, Ruminantia, Artiodactyla, Laurasiatheria, Boreoeutheria, Eutheria, Theria, Mammalia, Amniota, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Chlamydomonas moewusii,"Chlamydomonas, Chlamydomonadaceae, Chlamydomonadales, CS clade, Chlorophyceae, core chlorophytes, Chlorophyta, Viridiplantae, Eukaryota, cellular organisms"
Sorghum bicolor,"Sorghum, Sorghinae, Andropogoneae, Andropogonodae, Panicoideae, PACMAD clade, Poaceae, Poales, commelinids, Petrosaviidae, Liliopsida, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Staphylococcus haemolyticus (strain JCSC1435),"Staphylococcus, Staphylococcaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),"Aeropyrum, Desulfurococcaceae, Desulfurococcales, Thermoprotei, Crenarchaeota, TACK group, Archaea, cellular organisms"
Cupriavidus metallidurans (strain ATCC 43123 / DSM 2839 / NBRC 102507 / CH34),"Cupriavidus, Burkholderiaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Magnetospirillum gryphiswaldense (strain DSM 6361 / JCM 21280 / NBRC 15271 / MSR-1),"Magnetospirillum, Rhodospirillaceae, Rhodospirillales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Erysipelothrix rhusiopathiae (strain Fujisawa),"Erysipelothrix, Erysipelotrichaceae, Erysipelotrichales, Erysipelotrichia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056),"Eremothecium gossypii, Eremothecium, Saccharomycetaceae, Saccharomycetales, Saccharomycetes, Saccharomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Bat coronavirus 279/2005,"Bat SARS CoV Rm1/2004, Severe acute respiratory syndrome coronavirus, Sarbecovirus, Betacoronavirus, Orthocoronavirinae, Coronaviridae, Cornidovirineae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae, Riboviria, Viruses"
Pichia angusta,"Ogataea, Pichiaceae, Saccharomycetales, Saccharomycetes, Saccharomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Acinetobacter baumannii (strain ATCC 17978 / CIP 53.77 / LMG 1025 / NCDC KC755 / 5377),"Acinetobacter calcoaceticus/baumannii complex, Acinetobacter, Moraxellaceae, Moraxellales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Diadromus pulchellus idnoreovirus 1,"Idnoreovirus 1, Idnoreovirus, Spinareovirinae, Reoviridae, Reovirales, Resentoviricetes, Duplornaviricota, Orthornavirae, Riboviria, Viruses"
Lactococcus lactis subsp. lactis,"Lactococcus lactis, Lactococcus, Streptococcaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Prochlorococcus marinus (strain AS9601),"Prochlorococcus, Prochlorococcaceae, Synechococcales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Yersinia pseudotuberculosis serotype I (strain IP32953),"Yersinia pseudotuberculosis, Yersinia pseudotuberculosis complex, Yersinia, Yersiniaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Pyrobaculum calidifontis (strain DSM 21063 / JCM 11548 / VA1),"Pyrobaculum, Thermoproteaceae, Thermoproteales, Thermoprotei, Crenarchaeota, TACK group, Archaea, cellular organisms"
Oedogonium cardiacum,"Oedogonium, Oedogoniaceae, Oedogoniales, OCC clade, Chlorophyceae, core chlorophytes, Chlorophyta, Viridiplantae, Eukaryota, cellular organisms"
Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009),"Rhodopseudomonas, Bradyrhizobiaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Syntrophobacter fumaroxidans (strain DSM 10017 / MPOB),"Syntrophobacter, Syntrophobacteraceae, Syntrophobacterales, Deltaproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms"
Yersinia pestis,"Yersinia pseudotuberculosis complex, Yersinia, Yersiniaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Hyaloraphidium curvatum,"Hyaloraphidium, Monoblepharidales incertae sedis, Monoblepharidales, Monoblepharidomycetes, Chytridiomycota incertae sedis, Chytridiomycota, Fungi incertae sedis, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Cercopithecine herpesvirus 1,"Simplexvirus, Alphaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Ascaris suum,"Ascaris, Ascarididae, Ascaridoidea, Ascaridomorpha, Spirurina, Rhabditida, Chromadorea, Nematoda, Ecdysozoa, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Alcaligenes xylosoxydans xylosoxydans,"Achromobacter, Alcaligenaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Autographa californica nuclear polyhedrosis virus,"Autographa californica multiple nucleopolyhedrovirus, Alphabaculovirus, Baculoviridae, Lefavirales, Naldaviricetes, Viruses"
Methanococcus voltae,"Methanococcus, Methanococcaceae, Methanococcales, Methanococci, Methanomada group, Euryarchaeota, Archaea, cellular organisms"
Clostridium scindens (strain JCM 10418 / VPI 12708),"Lachnoclostridium, Lachnospiraceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
African swine fever virus (strain Badajoz 1971 Vero-adapted),"Asfivirus, Asfarviridae, Asfuvirales, Pokkesviricetes, Nucleocytoviricota, Bamfordvirae, Varidnaviria, Viruses"
Epstein-Barr virus (strain B95-8),"Lymphocryptovirus, Gammaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181),"Aspergillus fischeri, Aspergillus subgen. Fumigati, Aspergillus, Aspergillaceae, Eurotiales, Eurotiomycetidae, Eurotiomycetes, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Nephroselmis olivacea,"Nephroselmis, Nephroselmidaceae, Nephroselmidales, Nephroselmidophyceae, Chlorophyta, Viridiplantae, Eukaryota, cellular organisms"
Corynebacterium efficiens (strain DSM 44549 / YS-314 / AJ 12310 / JCM 11189 / NBRC 100395),"Corynebacterium, Corynebacteriaceae, Corynebacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Staphylococcus aureus (strain USA300),"Staphylococcus, Staphylococcaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Tupaia virus (isolate Tupaia/Thailand/-/1986),"Tupaia tupavirus, Tupavirus, Alpharhabdovirinae, Rhabdoviridae, Mononegavirales, Monjiviricetes, Haploviricotina, Negarnaviricota, Orthornavirae, Riboviria, Viruses"
Aspergillus oryzae (strain ATCC 42149 / RIB 40),"Aspergillus subgen. Circumdati, Aspergillus, Aspergillaceae, Eurotiales, Eurotiomycetidae, Eurotiomycetes, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Mycoplasma mycoides subsp. mycoides SC (strain PG1),"Mycoplasma mycoides subsp. mycoides, Mycoplasma mycoides, Mycoplasma mycoides group, Mycoplasma, Mycoplasmataceae, Mycoplasmatales, Mollicutes, Tenericutes, Terrabacteria group, Bacteria, cellular organisms"
Streptomyces glaucescens,"Streptomyces, Streptomycetaceae, Streptomycetales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Xylella fastidiosa (strain Temecula1 / ATCC 700964),"Xylella, Xanthomonadaceae, Xanthomonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Staphylococcus epidermidis (strain ATCC 35984 / RP62A),"Staphylococcus, Staphylococcaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Severe acute respiratory syndrome coronavirus,"Severe acute respiratory syndrome coronavirus, Severe acute respiratory syndrome coronavirus, Sarbecovirus, Betacoronavirus, Orthocoronavirinae, Coronaviridae, Cornidovirineae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae, Riboviria, Viruses"
Lactobacillus casei,"Lacticaseibacillus, Lactobacillaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Equine herpesvirus 2 (strain 86/87),"Equid gammaherpesvirus 2, Percavirus, Gammaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Cellvibrio japonicus (strain Ueda107),"Cellvibrio, Cellvibrionaceae, Cellvibrionales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Desulfovibrio vulgaris (strain ATCC 29579 / DSM 644 / NCIMB 8303 / VKM B-1760 / Hildenborough),"Desulfovibrio, Desulfovibrionaceae, Desulfovibrionales, Deltaproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms"
Bovine herpesvirus 1.1 (strain Cooper),"Bovine herpesvirus type 1.1, Bovine alphaherpesvirus 1, Varicellovirus, Alphaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Chlamydia muridarum (strain MoPn / Nigg),"Chlamydia, Chlamydia/Chlamydophila group, Chlamydiaceae, Chlamydiales, Chlamydiia, Chlamydiae, PVC group, Bacteria, cellular organisms"
Dengue virus type 1 (strain Thailand/AHF 82-80/1980),"Dengue virus 1, Dengue virus, Flavivirus, Flaviviridae, Amarillovirales, Flasuviricetes, Kitrinoviricota, Orthornavirae, Riboviria, Viruses"
Oryctolagus cuniculus,"Oryctolagus, Leporidae, Lagomorpha, Glires, Euarchontoglires, Boreoeutheria, Eutheria, Theria, Mammalia, Amniota, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Salmonella arizonae (strain ATCC BAA-731 / CDC346-86 / RSK2980),"Salmonella enterica subsp. arizonae, Salmonella enterica, Salmonella, Enterobacteriaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Aedes aegypti,"Stegomyia, Aedes, Aedini, Culicinae, Culicidae, Culicoidea, Culicomorpha, Nematocera, Diptera, Endopterygota, Neoptera, Pterygota, Dicondylia, Insecta, Hexapoda, Pancrustacea, Mandibulata, Arthropoda, Panarthropoda, Ecdysozoa, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Canis lupus,"Canis lupus, Canis, Canidae, Caniformia, Carnivora, Laurasiatheria, Boreoeutheria, Eutheria, Theria, Mammalia, Amniota, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Selaginella moellendorffii,"Selaginella, Selaginellaceae, Selaginellales, Lycopodiopsida, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Alcelaphine herpesvirus 1 (strain C500),"Alcelaphine gammaherpesvirus 1, Macavirus, Gammaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Streptococcus pyogenes serotype M2 (strain MGAS10270),"Streptococcus pyogenes serotype M2, Streptococcus pyogenes, Streptococcus, Streptococcaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Euglena gracilis,"Euglena, Euglenaceae, Euglenales, Euglenophyceae, Spirocuta, Euglenida, Euglenozoa, Discoba, Eukaryota, cellular organisms"
Shewanella frigidimarina (strain NCIMB 400),"Shewanella, Shewanellaceae, Alteromonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Xylella fastidiosa (strain M12),"Xylella, Xanthomonadaceae, Xanthomonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Enterobacteria phage PRD1,"Pseudomonas virus PRD1, Alphatectivirus, Tectiviridae, Kalamavirales, Tectiliviricetes, Preplasmiviricota, Bamfordvirae, Varidnaviria, Viruses"
Chlorokybus atmophyticus,"Chlorokybus, Chlorokybaceae, Chlorokybales, Chlorokybophyceae, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Anabaena cylindrica,"Anabaena, Nostocaceae, Nostocales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),"unclassified Synechococcus, Synechococcus, Synechococcaceae, Synechococcales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Cryptococcus gattii serotype B (strain WM276 / ATCC MYA-4071),"Cryptococcus gattii VGII, Cryptococcus gattii species complex, Cryptococcus, Cryptococcaceae, Tremellales, Tremellomycetes, Agaricomycotina, Basidiomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"Thermus, Thermaceae, Thermales, Deinococci, Deinococcus-Thermus, Terrabacteria group, Bacteria, cellular organisms"
Felis catus,"Felis, Felinae, Felidae, Feliformia, Carnivora, Laurasiatheria, Boreoeutheria, Eutheria, Theria, Mammalia, Amniota, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Human adenovirus C serotype 5,"Human mastadenovirus C, Mastadenovirus, Adenoviridae, Rowavirales, Tectiliviricetes, Preplasmiviricota, Bamfordvirae, Varidnaviria, Viruses"
Poinsettia latent virus (isolate Euphorbia pulcherrima/Germany/Siepen/2005),"Polemovirus, Solemoviridae, Sobelivirales, Pisoniviricetes, Pisuviricota, Orthornavirae, Riboviria, Viruses"
Strongylocentrotus purpuratus,"Strongylocentrotus, Strongylocentrotidae, Echinidea, Camarodonta, Echinacea, Euechinoidea, Echinoidea, Echinozoa, Eleutherozoa, Echinodermata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Haemophilus phage HP1 (strain HP1c1),"Hpunavirus, Peduovirinae, Myoviridae, Caudovirales, Caudoviricetes, Uroviricota, Heunggongvirae, Duplodnaviria, Viruses"
Cereibacter sphaeroides,"Cereibacter, Rhodobacteraceae, Rhodobacterales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Wolinella succinogenes (strain ATCC 29543 / DSM 1740 / LMG 7466 / NCTC 11488 / FDC 602W),"Wolinella, Helicobacteraceae, Campylobacterales, Epsilonproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms"
Fungal sp. (strain NRRL 50135),"unclassified Agaricales, Agaricales, Agaricomycetidae, Agaricomycetes, Agaricomycotina, Basidiomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Komagataella phaffii (strain GS115 / ATCC 20864),"Komagataella, Phaffomycetaceae, Saccharomycetales, Saccharomycetes, Saccharomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Bacillus anthracis,"Bacillus cereus group, Bacillus, Bacillaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Psychrobacter cryohalolentis (strain ATCC BAA-1226 / DSM 17306 / VKM B-2378 / K5),"Psychrobacter, Moraxellaceae, Moraxellales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Chlamydia trachomatis (strain D/UW-3/Cx),"Chlamydia, Chlamydia/Chlamydophila group, Chlamydiaceae, Chlamydiales, Chlamydiia, Chlamydiae, PVC group, Bacteria, cellular organisms"
Mushroom bacilliform virus (isolate Australia/AUS LF-1),"Barnavirus, Barnaviridae, Sobelivirales, Pisoniviricetes, Pisuviricota, Orthornavirae, Riboviria, Viruses"
Burkholderia ambifaria (strain ATCC BAA-244 / AMMD),"Burkholderia cepacia complex, Burkholderia, Burkholderiaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Acidianus two-tailed virus,NotFound
Purpureocillium lilacinum,"Purpureocillium, Ophiocordycipitaceae, Hypocreales, Hypocreomycetidae, Sordariomycetes, sordariomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Amphimedon queenslandica,"Amphimedon, Niphatidae, Haplosclerida, Heteroscleromorpha, Demospongiae, Porifera, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Penicillium aethiopicum,"Penicillium, Aspergillaceae, Eurotiales, Eurotiomycetidae, Eurotiomycetes, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Human adenovirus C serotype 2,"Human mastadenovirus C, Mastadenovirus, Adenoviridae, Rowavirales, Tectiliviricetes, Preplasmiviricota, Bamfordvirae, Varidnaviria, Viruses"
Acidianus bottle-shaped virus (isolate Italy/Pozzuoli),NotFound
Thermosynechococcus vestitus (strain IAM M-273 / NIES-2133 / BP-1),"Thermosynechococcus, Thermosynechococcaceae, Pseudanabaenales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Synechococcus elongatus (strain PCC 7942 / FACHB-805),"Synechococcus elongatus, Synechococcus, Synechococcaceae, Synechococcales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Drosophila virilis,"virilis group, Drosophila, Drosophila, Drosophilini, Drosophilinae, Drosophilidae, Ephydroidea, Acalyptratae, Schizophora, Cyclorrhapha, Eremoneura, Muscomorpha, Brachycera, Diptera, Endopterygota, Neoptera, Pterygota, Dicondylia, Insecta, Hexapoda, Pancrustacea, Mandibulata, Arthropoda, Panarthropoda, Ecdysozoa, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Leptosphaeria maculans (strain JN3 / isolate v23.1.3 / race Av1-4-5-6-7-8),"Leptosphaeria maculans species complex, Leptosphaeria, Leptosphaeriaceae, Pleosporineae, Pleosporales, Pleosporomycetidae, Dothideomycetes, dothideomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Beauveria bassiana (strain ARSEF 2860),"Beauveria, Cordycipitaceae, Hypocreales, Hypocreomycetidae, Sordariomycetes, sordariomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719),"Chaetomium, Chaetomiaceae, Sordariales, Sordariomycetidae, Sordariomycetes, sordariomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Methanoregula boonei (strain DSM 21154 / JCM 14090 / 6A8),"Methanoregula, Methanoregulaceae, Methanomicrobiales, Methanomicrobia, Stenosarchaea group, Euryarchaeota, Archaea, cellular organisms"
Cereibacter sphaeroides (strain ATCC 17023 / DSM 158 / JCM 6121 / CCUG 31486 / LMG 2827 / NBRC 12203 / NCIMB 8253 / ATH 2.4.1.),"Cereibacter, Rhodobacteraceae, Rhodobacterales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Rhizorhabdus wittichii (strain DSM 6014 / CCUG 31198 / JCM 15750 / NBRC 105917 / EY 4224 / RW1),"Rhizorhabdus, Sphingomonadaceae, Sphingomonadales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Burkholderia mallei (strain ATCC 23344),"pseudomallei group, Burkholderia, Burkholderiaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Amycolatopsis lactamdurans,"Amycolatopsis, Pseudonocardiaceae, Pseudonocardiales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Murid herpesvirus 4,"Rhadinovirus, Gammaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Macaca fascicularis,"Macaca, Cercopithecinae, Cercopithecidae, Cercopithecoidea, Catarrhini, Simiiformes, Haplorrhini, Primates, Euarchontoglires, Boreoeutheria, Eutheria, Theria, Mammalia, Amniota, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Streptomyces mycarofaciens,"Streptomyces, Streptomycetaceae, Streptomycetales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831),"Fusarium fujikuroi species complex, Fusarium, Nectriaceae, Hypocreales, Hypocreomycetidae, Sordariomycetes, sordariomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Salmonella typhi,"Salmonella enterica I, Salmonella enterica, Salmonella, Enterobacteriaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Dugesia japonica,"Dugesia, Dugesiidae, Geoplanoidea, Continenticola, Tricladida, Seriata, Rhabditophora, Platyhelminthes, Lophotrochozoa, Spiralia, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Natronomonas pharaonis (strain ATCC 35678 / DSM 2160 / CIP 103997 / JCM 8858 / NBRC 14720 / NCIMB 2260 / Gabara),"Natronomonas, Haloarculaceae, Halobacteriales, Halobacteria, Stenosarchaea group, Euryarchaeota, Archaea, cellular organisms"
Methylococcus capsulatus (strain ATCC 33009 / NCIMB 11132 / Bath),"Methylococcus, Methylococcaceae, Methylococcales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Ctenocephalides felis,"Ctenocephalides, Archaeopsyllinae, Pulicidae, Pulicoidea, Pulicomorpha, Siphonaptera, Endopterygota, Neoptera, Pterygota, Dicondylia, Insecta, Hexapoda, Pancrustacea, Mandibulata, Arthropoda, Panarthropoda, Ecdysozoa, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Trypanosoma brucei brucei,"Trypanosoma brucei, Trypanozoon, Trypanosoma, Trypanosomatidae, Trypanosomatida, Metakinetoplastina, Kinetoplastea, Euglenozoa, Discoba, Eukaryota, cellular organisms"
Myxoma virus (strain Lausanne),"Leporipoxvirus, Chordopoxvirinae, Poxviridae, Chitovirales, Pokkesviricetes, Nucleocytoviricota, Bamfordvirae, Varidnaviria, Viruses"
Alteromonas mediterranea (strain DSM 17117 / CIP 110805 / LMG 28347 / Deep ecotype),"Alteromonas, Alteromonas/Salinimonas group, Alteromonadaceae, Alteromonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Vibrio campbellii (strain ATCC BAA-1116 / BB120),"Vibrio harveyi group, Vibrio, Vibrionaceae, Vibrionales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Plasmodium falciparum (isolate 3D7),"Plasmodium (Laverania), Plasmodium, Plasmodiidae, Haemosporida, Aconoidasida, Apicomplexa, Alveolata, Sar, Eukaryota, cellular organisms"
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),"Acetivibrio, Oscillospiraceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Potato virus X (strain Xc),"Potexvirus, Alphaflexiviridae, Tymovirales, Alsuviricetes, Kitrinoviricota, Orthornavirae, Riboviria, Viruses"
Coxiella burnetii (strain RSA 493 / Nine Mile phase I),"Coxiella, Coxiellaceae, Legionellales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Elephas maximus,"Elephas, Elephantidae, Proboscidea, Afrotheria, Eutheria, Theria, Mammalia, Amniota, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Crassostrea gigas,"Crassostrea, Ostreidae, Ostreoidea, Ostreida, Pteriomorphia, Autobranchia, Bivalvia, Mollusca, Lophotrochozoa, Spiralia, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
